année,valeur,type
1765,402,cabotage (pav. fr)
1766,414,cabotage (pav. fr)
1767,461,cabotage (pav. fr)
1768,418,cabotage (pav. fr)
1769,402,cabotage (pav. fr)
1770,385,cabotage (pav. fr)
1771,511,cabotage (pav. fr)
1772,433,cabotage (pav. fr)
1773,457,cabotage (pav. fr)
1774,467,cabotage (pav. fr)
1775,387,cabotage (pav. fr)
1776,536,cabotage (pav. fr)
1777,541,cabotage (pav. fr)
1778,290,cabotage (pav. fr)
1779,108,cabotage (pav. fr)
1780,197,cabotage (pav. fr)
1781,251,cabotage (pav. fr)
1782,341,cabotage (pav. fr)
1783,365,cabotage (pav. fr)
1784,444,cabotage (pav. fr)
1785,551,cabotage (pav. fr)
1786,463,cabotage (pav. fr)
1787,486,cabotage (pav. fr)
1788,520,cabotage (pav. fr)
1789,507,cabotage (pav. fr)
1790,773,cabotage (pav. fr)
1791,590,cabotage (pav. fr)
1765,7,Isles (pav. fr)
1766,12,Isles (pav. fr)
1767,10,Isles (pav. fr)
1768,19,Isles (pav. fr)
1769,14,Isles (pav. fr)
1770,10,Isles (pav. fr)
1771,13,Isles (pav. fr)
1772,8,Isles (pav. fr)
1773,11,Isles (pav. fr)
1774,11,Isles (pav. fr)
1775,9,Isles (pav. fr)
1776,17,Isles (pav. fr)
1777,7,Isles (pav. fr)
1778,3,Isles (pav. fr)
1779,0,Isles (pav. fr)
1780,,Isles (pav. fr)
1781,,Isles (pav. fr)
1782,1,Isles (pav. fr)
1783,30,Isles (pav. fr)
1784,29,Isles (pav. fr)
1785,26,Isles (pav. fr)
1786,14,Isles (pav. fr)
1787,20,Isles (pav. fr)
1788,31,Isles (pav. fr)
1789,31,Isles (pav. fr)
1790,30,Isles (pav. fr)
1791,30,Isles (pav. fr)
1765,,pêche
1766,,pêche
1767,,pêche
1768,,pêche
1769,,pêche
1770,4,pêche
1771,7,pêche
1772,3,pêche
1773,2,pêche
1774,3,pêche
1775,3,pêche
1776,,pêche
1777,,pêche
1778,,pêche
1779,,pêche
1780,,pêche
1781,,pêche
1782,,pêche
1783,,pêche
1784,,pêche
1785,5,pêche
1786,14,pêche
1787,20,pêche
1788,10,pêche
1789,9,pêche
1790,6,pêche
1791,8,pêche
1765,20,long-cours (pav. fr)
1766,121,long-cours (pav. fr)
1767,84,long-cours (pav. fr)
1768,91,long-cours (pav. fr)
1769,90,long-cours (pav. fr)
1770,71,long-cours (pav. fr)
1771,96,long-cours (pav. fr)
1772,96,long-cours (pav. fr)
1773,89,long-cours (pav. fr)
1774,86,long-cours (pav. fr)
1775,90,long-cours (pav. fr)
1776,92,long-cours (pav. fr)
1777,93,long-cours (pav. fr)
1778,11,long-cours (pav. fr)
1779,3,long-cours (pav. fr)
1780,0,long-cours (pav. fr)
1781,,long-cours (pav. fr)
1782,1,long-cours (pav. fr)
1783,105,long-cours (pav. fr)
1784,103,long-cours (pav. fr)
1785,89,long-cours (pav. fr)
1786,102,long-cours (pav. fr)
1787,104,long-cours (pav. fr)
1788,109,long-cours (pav. fr)
1789,110,long-cours (pav. fr)
1790,101,long-cours (pav. fr)
1791,124,long-cours (pav. fr)
1765,5,guerre et marchandises (pav. fr)
1766,2,guerre et marchandises (pav. fr)
1767,,guerre et marchandises (pav. fr)
1768,3,guerre et marchandises (pav. fr)
1769,2,guerre et marchandises (pav. fr)
1770,1,guerre et marchandises (pav. fr)
1771,1,guerre et marchandises (pav. fr)
1772,,guerre et marchandises (pav. fr)
1773,,guerre et marchandises (pav. fr)
1774,,guerre et marchandises (pav. fr)
1775,,guerre et marchandises (pav. fr)
1776,,guerre et marchandises (pav. fr)
1777,,guerre et marchandises (pav. fr)
1778,18,guerre et marchandises (pav. fr)
1779,13,guerre et marchandises (pav. fr)
1780,23,guerre et marchandises (pav. fr)
1781,43,guerre et marchandises (pav. fr)
1782,46,guerre et marchandises (pav. fr)
1783,3,guerre et marchandises (pav. fr)
1784,,guerre et marchandises (pav. fr)
1785,,guerre et marchandises (pav. fr)
1786,,guerre et marchandises (pav. fr)
1787,,guerre et marchandises (pav. fr)
1788,,guerre et marchandises (pav. fr)
1789,,guerre et marchandises (pav. fr)
1790,,guerre et marchandises (pav. fr)
1791,,guerre et marchandises (pav. fr)
1765,805,cabotage (étrangers)
1766,955,cabotage (étrangers)
1767,1106,cabotage (étrangers)
1768,1372,cabotage (étrangers)
1769,1501,cabotage (étrangers)
1770,1506,cabotage (étrangers)
1771,1581,cabotage (étrangers)
1772,1621,cabotage (étrangers)
1773,1892,cabotage (étrangers)
1774,1827,cabotage (étrangers)
1775,1979,cabotage (étrangers)
1776,2043,cabotage (étrangers)
1777,2192,cabotage (étrangers)
1778,1241,cabotage (étrangers)
1779,903,cabotage (étrangers)
1780,998,cabotage (étrangers)
1781,1154,cabotage (étrangers)
1782,1246,cabotage (étrangers)
1783,1361,cabotage (étrangers)
1784,1055,cabotage (étrangers)
1785,1119,cabotage (étrangers)
1786,1289,cabotage (étrangers)
1787,1549,cabotage (étrangers)
1788,1451,cabotage (étrangers)
1789,1866,cabotage (étrangers)
1790,1341,cabotage (étrangers)
1791,924,cabotage (étrangers)
1765,64,long-cours (étrangers)
1766,75,long-cours (étrangers)
1767,57,long-cours (étrangers)
1768,95,long-cours (étrangers)
1769,78,long-cours (étrangers)
1770,73,long-cours (étrangers)
1771,93,long-cours (étrangers)
1772,86,long-cours (étrangers)
1773,92,long-cours (étrangers)
1774,91,long-cours (étrangers)
1775,113,long-cours (étrangers)
1776,93,long-cours (étrangers)
1777,118,long-cours (étrangers)
1778,104,long-cours (étrangers)
1779,48,long-cours (étrangers)
1780,44,long-cours (étrangers)
1781,26,long-cours (étrangers)
1782,50,long-cours (étrangers)
1783,83,long-cours (étrangers)
1784,66,long-cours (étrangers)
1785,72,long-cours (étrangers)
1786,82,long-cours (étrangers)
1787,52,long-cours (étrangers)
1788,71,long-cours (étrangers)
1789,76,long-cours (étrangers)
1790,41,long-cours (étrangers)
1791,60,long-cours (étrangers)