annee,assise,recettes,rapport_assise_recettes
1705,177 100,192 398,"92,0487739"
1706,204 311,249 920,"81,75056018"
1707,231 017,350 190,"65,96904538"
1708,203 881,384 661,"53,00277387"
1709,125 902,348 747,"36,10124245"
1710,145 164,339 412,"42,76925978"
1711,157 166,321 653,"48,86197237"
1712,228 348,366 559,"62,29501936"
1713,216 240,234 502,"92,21243316"
1714,179 988,203 798,"88,31686278"
1715,113 133,122 718,"92,18940987"
1716,92 877,113 227,"82,02725498"
1717,103 518,112 519,"92,00046214"
1718,98 611,132 082,"74,658924"
1719,94 851,196 852,"48,18391482"
1720,98 945,100 771,"98,18797075"
1721,96 897,113 916,"85,06004424"
1722,91793,175 305,"52,36188357"
1723,107 012,148 734,"71,94857934"
1724,94 870,134 725,"70,41751716"