year,sorties_pilotage,total
1730,357,
1731,407,
1732,,
1733,,
1734,,
1735,,
1736,386,
1737,462,
1738,418,
1739,440,
1740,573,
1741,623,
1742,432,
1743,590,
1744,299,
1745,298,
1746,304,
1747,244,
1748,488,
1749,550,
1750,569,
1751,664,
1752,705,
1753,,
1754,,
1755,235,
1756,353,
1757,287,
1758,371,
1759,258,
1760,296,
1761,365,
1762,334,
1763,564,
1764,709,
1765,742,1303
1766,733,1579
1767,676,1718
1768,777,1998
1769,720,2087
1770,690,2050
1771,824,2302
1772,781,2247
1773,808,2543
1774,822,2485
1775,614,2581
1776,848,2259
1777,881,2807
1778,571,1667
1779,471,1075
1780,569,1262
1781,593,1474
1782,688,1685
1783,921,1947
1784,808,1697
1785,851,1862
1786,808,1964
1787,883,2231
1788,972,2190
1789,1177,2599
1790,1197,2340
1791,1014,1736