id,year_start,year_end,file_head,file_legend,upper_town,lower_town,dunkerque_city,dunkerque_territory,country
1580_1646,1580,1646,1580_1646_head.svg,,Spain,Spain,0,1,0
1646_1652,1646,1652,1646_1652_head.svg,,France,France,0,1,0
1652_1658,1652,1658,1652_1658_head.svg,,Spain,Spain,0,1,0
1658_1662,1658,1662,1658_1662_head.svg,,UK,UK,0,1,0
1662_1700,1662,1700,,,tax-free,tax-free,1,0,1
1662_,1662,,1662__head.svg,1662__legend.svg,tax-free,tax-free,1,0,1
1700_,1700,,1700__head.svg,1700__legend.svg,tax-free,tax-free,1,0,1
1700_1713,1700,1713,1700__head.svg,1700__legend.svg,tax-free,tax-free,1,0,1
1713_,1713,,1713__head.svg,1713__legend.svg,tax-free,France,1,0,1
1713_1850,1713,1850,1713__head.svg,1713__legend.svg,tax-free,France,1,0,1
1729_,1729,,1729__head.svg,1729__legend.svg,tax-free,France,1,0,1
1731_,1731,,1731__head.svg,1731__legend.svg,tax-free,France,1,0,1
1750_,1750,,1750__head.svg,1750__legend.svg,tax-free,France,1,0,1
1786_,1786,,1786__head.svg,1786__legend.svg,tax-free,France,1,0,1